case_id,category,problem,resolution
HC-001,REFUND,Customer refund promised but not yet received,"Located the refund stuck in a pending state, manually re-triggered it, and shared the transaction reference. Refunds now post within 3-5 business days."
HC-002,PAYMENT,Customer charged twice for the same order,"Confirmed the duplicate charge, reversed it within 3-5 business days, and added a deduplication check on the payment retry path."
HC-003,PAYMENT,Card declined despite being valid elsewhere,"Card was blocked by the fraud filter; whitelisted it and advised matching the billing address. Payment succeeded on retry."
HC-004,DELIVERY,Order stuck in transit with no tracking updates,"Opened a carrier trace, found the parcel delayed at a sorting hub, and shipped a replacement with expedited delivery."
HC-005,DELIVERY,Package marked delivered but never received,"Filed a lost-in-transit claim with the carrier and dispatched a replacement after verifying the delivery address."
HC-006,ORDER,Wrong item received in the package,"Arranged a free return and shipped the correct item the same day. Flagged the SKU mix-up to the warehouse for QA."
HC-007,ORDER,Customer wants to track their order,"Shared the live tracking link and carrier reference, and enabled shipping notifications on the account."
HC-008,CANCEL,Cancel an order before it ships,"Cancelled the order before dispatch and confirmed that no charge would be taken."
HC-009,INVOICE,Customer needs an invoice for a purchase,"Emailed the itemized invoice as a PDF and showed where to download past invoices in the account portal."
HC-010,ACCOUNT,Locked out and password reset not working,"Verified identity, cleared the lockout, and sent a secure password-reset link. Recommended enabling two-factor authentication."
HC-011,ACCOUNT,Update the email address on an account,"Updated the account email after identity verification and sent a confirmation to both the old and new addresses."
HC-012,SHIPPING,Change the shipping address on an order,"Updated the shipping address before dispatch and confirmed the revised delivery estimate."
HC-013,SUBSCRIPTION,Customer wants to cancel or pause a subscription,"Processed the cancellation immediately and confirmed no further charges. Offered a one-month pause as an alternative."
HC-014,REFUND,Refund requested for a damaged item,"Approved a refund under warranty and emailed a prepaid return label for the damaged item."
HC-015,CONTACT,Customer wants to reach a human agent,"Connected the customer to a senior agent by phone and logged a callback as a backup."
HC-016,FEEDBACK,Complaint about poor support experience,"Apologized, escalated to the team lead, followed up with a resolution, and applied a goodwill credit to the account."
